tripduration,starttime,start station id,stoptime,start station name,start station latitude,end station id,start station longitude,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
1812,57:23.9,3599,27:36.5,Franklin Ave & Empire Blvd,40.66314,3596,-73.9605695,Sullivan Pl & Bedford Ave,40.6642406,-73.9574686,37078,Subscriber,1995,1
1733,01:03.3,3571,29:56.9,Bedford Ave & Bergen St,40.676368,3571,-73.952918,Bedford Ave & Bergen St,40.676368,-73.952918,36902,Customer,1989,1
278,02:22.1,367,07:01.0,E 53 St & Lexington Ave,40.75828065,3749,-73.97069431,Lexington Ave & E 36 St,40.74757396,-73.97880077,36974,Subscriber,1994,1
1563,02:42.0,330,28:45.7,Reade St & Broadway,40.71450451,3002,-74.00562789,South End Ave & Liberty St,40.711512,-74.015756,37827,Customer,1992,1
681,03:12.9,3129,14:34.6,Queens Plaza North & Crescent St,40.75110165,3668,-73.94073717,Leonard St & Nassau Ave,40.72395678,-73.94984365,36147,Customer,1989,1
1020,05:26.2,3163,22:27.2,Central Park West & W 68 St,40.7734066,482,-73.97782542,W 15 St & 7 Ave,40.73935542,-73.99931783,36043,Subscriber,1979,2
1127,09:02.1,3749,27:49.8,Lexington Ave & E 36 St,40.74757396,3799,-73.97880077,6 Ave & W 34 St,40.74964,-73.98805,36974,Subscriber,1994,1
816,09:28.7,473,23:05.0,Rivington St & Chrystie St,40.72110063,3096,-73.9919254,Union Ave & N 12 St,40.71924,-73.95242,37093,Subscriber,1986,1
2811,13:48.1,127,00:39.8,Barrow St & Hudson St,40.73172428,368,-74.00674436,Carmine St & 6 Ave,40.73038599,-74.00214988,36902,Subscriber,1987,1
1071,31:58.7,412,49:50.1,Forsyth St & Canal St,40.7158155,212,-73.99422366,W 16 St & The High Line,40.74334935,-74.00681753,37751,Subscriber,1964,1
1677,33:10.1,3774,01:07.6,Knickerbocker Ave & George St,40.704425,3718,-73.92836,E 11 St & Avenue B,40.72746421,-73.97950418,36147,Subscriber,1985,1
2599,08:13.1,3823,51:32.1,Beaver St & Fayette St,40.70099,3096,-73.93921,Union Ave & N 12 St,40.71924,-73.95242,37870,Subscriber,1991,1
965,14:47.8,400,30:53.6,Pitt St & Stanton St,40.71926081,3096,-73.98178024,Union Ave & N 12 St,40.71924,-73.95242,37420,Customer,1995,2
1533,20:31.5,3290,46:04.7,E 89 St & York Ave,40.7779453,3533,-73.946041,St. Nicholas Ave & W 126 St,40.8114323,-73.9518776,37751,Customer,1979,1
425,20:33.4,367,27:39.3,E 53 St & Lexington Ave,40.75828065,2017,-73.97069431,E 43 St & 2 Ave,40.75022392,-73.97121414,36974,Subscriber,1976,2
1796,20:41.2,3637,50:37.5,Fulton St & Waverly Ave,40.68323865,157,-73.96599591,Henry St & Atlantic Ave,40.69089272,-73.99612349,37827,Subscriber,1991,1
1574,21:39.0,315,47:53.4,South St & Gouverneur Ln,40.70355377,3256,-74.00670227,Pier 40 - Hudson River Park,40.72771408,-74.01129574,36622,Customer,1992,2
1272,23:33.7,150,44:46.0,E 2 St & Avenue C,40.7208736,473,-73.98085795,Rivington St & Chrystie St,40.72110063,-73.9919254,37009,Subscriber,1980,1
921,35:26.2,2017,50:48.0,E 43 St & 2 Ave,40.75022392,3568,-73.97121414,34 St & 35 Ave,40.7569332,-73.9262231,36974,Subscriber,1994,1
2219,40:17.2,339,17:17.0,Avenue D & E 12 St,40.72580614,339,-73.97422494,Avenue D & E 12 St,40.72580614,-73.97422494,37544,Subscriber,1977,1
1211,50:38.7,301,10:50.1,E 2 St & Avenue B,40.72217444,3725,-73.98368779,2 Ave & E 72 St,40.76876203,-73.95840794,37093,Customer,1969,0
3898,50:45.6,252,55:43.7,MacDougal St & Washington Sq,40.73226398,3592,-73.99852205,Crescent St & Broadway,40.7633589,-73.9286471,36559,Subscriber,1989,2
1862,54:29.0,3503,25:31.9,Madison Ave & E 120 St,40.80295,3314,-73.942954,W 95 St & Broadway,40.7937704,-73.971888,36147,Customer,1989,1
2131,55:07.5,3331,30:38.6,Riverside Dr & W 104 St,40.8013434,497,-73.97114574,E 17 St & Broadway,40.73704984,-73.99009296,37827,Subscriber,1969,1
343,55:46.5,3145,01:30.2,E 84 St & Park Ave,40.77862688,3141,-73.95772073,1 Ave & E 68 St,40.76500525,-73.95818491,36392,Subscriber,1967,1
1895,57:59.4,3590,29:35.0,Carroll St & Franklin Ave,40.6679411,3604,-73.9588,Rogers Ave & Sterling St,40.6630619,-73.9538746,37078,Subscriber,1995,1
687,00:27.7,3429,11:54.8,Hanson Pl & Ashland Pl,40.68506807,3562,-73.9779076,Classon Ave & St Marks Ave,40.6765198,-73.9596082,37202,Subscriber,1992,1
670,01:24.1,462,12:34.2,W 22 St & 10 Ave,40.74691959,3749,-74.00451887,Lexington Ave & E 36 St,40.74757396,-73.97880077,37544,Subscriber,1984,1
1470,04:39.3,3042,29:09.6,Fulton St & Utica Ave,40.6794268,3755,-73.9298911,DeKalb Ave & Franklin Ave,40.69064807,-73.95746179,36902,Customer,1989,1
2985,04:45.3,499,54:31.1,Broadway & W 60 St,40.76915505,3697,-73.98191841,W 64 St & Thelonious Monk Circle,40.77515953,-73.98918696,36193,Subscriber,1968,1
765,05:27.6,3141,18:13.4,1 Ave & E 68 St,40.76500525,3502,-73.95818491,Lexington Ave & E 111 St,40.7954121,-73.9441232,36392,Subscriber,1969,0
350,20:41.8,3668,26:32.8,Leonard St & Nassau Ave,40.72395678,3816,-73.94984365,Metropolitan Ave & Vandervoort Ave,40.71429,-73.93323,36147,Customer,1989,1
3127,24:11.6,3096,16:19.1,Union Ave & N 12 St,40.71924,3764,-73.95242,Bushwick Ave & McKibbin St,40.705517,-73.93936,37093,Subscriber,1995,2
2413,27:52.7,3816,08:06.3,Metropolitan Ave & Vandervoort Ave,40.71429,3852,-73.93323,Stewart Ave & Johnson Ave,40.70869,-73.92587,36147,Subscriber,1969,0
2235,38:37.6,447,15:53.6,8 Ave & W 52 St,40.76370739,2008,-73.9851615,Little West St & 1 Pl,40.70569254,-74.01677685,37009,Subscriber,2001,1
2844,43:57.5,3764,31:21.8,Bushwick Ave & McKibbin St,40.705517,3074,-73.93936,Montrose Ave & Bushwick Ave,40.70767788,-73.94016171,37093,Subscriber,1983,1
482,51:29.2,212,59:31.2,W 16 St & The High Line,40.74334935,490,-74.00681753,8 Ave & W 33 St,40.751551,-73.993934,37751,Customer,1973,1
2039,57:28.4,3733,31:28.3,Avenue C & E 18 St,40.730563,403,-73.973984,E 2 St & 2 Ave,40.72502876,-73.99069656,37544,Subscriber,1972,1
2358,06:16.0,264,45:34.8,Maiden Ln & Pearl St,40.70706456,3307,-74.00731853,West End Ave & W 94 St,40.7941654,-73.974124,36147,Subscriber,1989,2
1534,08:41.8,157,34:16.3,Henry St & Atlantic Ave,40.69089272,509,-73.99612349,9 Ave & W 22 St,40.7454973,-74.00197139,37827,Customer,1994,2
559,12:36.2,3568,21:56.0,34 St & 35 Ave,40.7569332,3522,-73.9262231,37 St & 24 Ave,40.7701477,-73.9120938,37420,Customer,1990,2
503,18:40.3,3592,27:03.8,Crescent St & Broadway,40.7633589,3691,-73.9286471,28 Ave & 44 St,40.76408932,-73.91065121,36559,Subscriber,1970,1
16881,19:52.3,442,01:13.8,W 27 St & 7 Ave,40.746647,3712,-73.993915,W 35 St & Dyer Ave,40.75469175,-73.99740189,36622,Subscriber,1972,1
127,22:03.3,3533,24:10.6,St. Nicholas Ave & W 126 St,40.8114323,3508,-73.9518776,St Nicholas Ave & Manhattan Ave,40.809725,-73.953149,37751,Subscriber,1993,2
380,24:08.8,401,30:29.1,Allen St & Rivington St,40.72019576,312,-73.98997825,Allen St & Stanton St,40.722055,-73.989111,37009,Subscriber,1971,2
3104,28:50.2,228,20:34.7,E 48 St & 3 Ave,40.7546011,454,-73.97187886,E 51 St & 1 Ave,40.75455731,-73.96592976,36193,Subscriber,1991,2
987,36:35.2,3508,53:02.9,St Nicholas Ave & Manhattan Ave,40.809725,3171,-73.953149,Amsterdam Ave & W 82 St,40.78524672,-73.97667321,37751,Subscriber,1987,1
974,59:04.2,3171,15:19.2,Amsterdam Ave & W 82 St,40.78524672,3534,-73.97667321,Frederick Douglass Blvd & W 117 St,40.805159,-73.954692,37751,Subscriber,1987,1
868,11:24.8,247,25:52.9,Perry St & Bleecker St,40.73535398,479,-74.00483091,9 Ave & W 45 St,40.76019252,-73.9912551,36392,Subscriber,1982,1
244,14:23.1,3374,18:27.8,Central Park North & Adam Clayton Powell Blvd,40.799484,3629,-73.955613,Adam Clayton Powell Blvd & W 126 St,40.80949535,-73.94776493,37202,Subscriber,1980,1
469,43:09.4,383,50:58.5,Greenwich Ave & Charles St,40.735238,474,-74.000271,5 Ave & E 29 St,40.7451677,-73.98683077,36559,Subscriber,1961,2
