420,32:12.9,296,39:13.6,Division St & Bowery,40.71413089,387,-73.9970468,Centre St & Chambers St,40.71273266,-74.0046073,35095,Subscriber,1949,1
344,37:22.1,3137,43:06.6,5 Ave & E 73 St,40.77282817,3154,-73.96685276,E 77 St & 3 Ave,40.77314236,-73.95856158,35589,Subscriber,1990,1
344,41:44.1,3440,47:28.5,Fulton St & Adams St,40.69241829,3486,-73.98949474,Schermerhorn St & Bond St,40.68841743,-73.98451656,34086,Subscriber,1969,1
431,42:00.0,3641,49:12.0,Broadway & W 25 St,40.74286877,3466,-73.98918629,W 45 St & 6 Ave -,40.75668721,-73.98257732,35376,Subscriber,1979,1
887,47:59.8,3154,02:47.7,E 77 St & 3 Ave,40.77314236,3466,-73.95856158,W 45 St & 6 Ave -,40.75668721,-73.98257732,35589,Subscriber,1981,1
164,51:22.3,382,54:06.9,University Pl & E 14 St,40.73492695,3709,-73.99200509,W 15 St & 6 Ave,40.73804614,-73.99642959,34820,Subscriber,1989,2
350,58:13.0,3466,04:03.2,W 45 St & 6 Ave -,40.75668721,533,-73.98257732,Broadway & W 38 St,40.75299641,-73.98721619,35376,Subscriber,1969,0
734,55:26.6,497,07:41.0,E 17 St & Broadway,40.73704984,517,-73.99009296,Pershing Square South,40.751581,-73.97791,35327,Subscriber,1961,1
708,55:51.5,335,07:39.7,Washington Pl & Broadway,40.72903917,195,-73.99404649,Liberty St & Broadway,40.70905623,-74.01043382,35095,Subscriber,1956,1
254,43:33.9,167,47:48.0,E 39 St & 3 Ave,40.7489006,501,-73.97604882,FDR Drive & E 35 St,40.744219,-73.97121214,35327,Subscriber,1992,1
197,45:19.4,144,48:36.5,Nassau St & Navy St,40.69839895,261,-73.98068914,Johnson St & Gold St,40.69474881,-73.98362464,34086,Subscriber,1977,2
749,45:17.9,359,57:47.2,E 47 St & Park Ave,40.75510267,3660,-73.97498696,W 16 St & 8 Ave,40.74102151,-74.00138497,35084,Subscriber,1972,1
388,54:07.9,3137,00:36.0,5 Ave & E 73 St,40.77282817,520,-73.96685276,W 52 St & 5 Ave,40.75992262,-73.97648516,35086,Subscriber,1965,1
318,55:52.0,261,01:10.9,Johnson St & Gold St,40.69474881,421,-73.98362464,Clermont Ave & Park Ave,40.69573398,-73.97129668,34086,Subscriber,1985,1
376,57:42.9,3544,03:58.9,Underhill Ave & Pacific St,40.6804836,241,-73.9646795,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,33758,Subscriber,1964,1
2511,58:12.7,3584,40:04.6,Eastern Pkwy & Franklin Ave,40.6707767,347,-73.9576801,Greenwich St & W Houston St,40.728846,-74.008591,35589,Subscriber,1989,2
419,02:32.7,293,09:32.3,Lafayette St & E 8 St,40.73020661,546,-73.99102628,E 30 St & Park Ave S,40.74444921,-73.98303529,34848,Subscriber,1987,1
377,03:18.7,3660,09:35.9,W 16 St & 8 Ave,40.74102151,3258,-74.00138497,W 27 St & 10 Ave,40.75018156,-74.00218427,35084,Subscriber,1989,2
