tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
564,59:02.0,08:26.1,326,E 11 St & 1 Ave,40.72953837,-73.98426726,284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,35649,Customer,1970,0
369,42:34.0,48:43.5,284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,326,E 11 St & 1 Ave,40.72953837,-73.98426726,35649,Customer,1970,0
564,48:51.1,58:15.3,477,W 41 St & 8 Ave,40.75640548,-73.9900262,388,W 26 St & 10 Ave,40.74971775,-74.00295035,52272,Customer,1970,0
1273,55:49.7,17:03.4,326,E 11 St & 1 Ave,40.72953837,-73.98426726,228,E 48 St & 3 Ave,40.7546011,-73.97187886,35649,Customer,1970,0
732,00:22.0,12:34.6,388,W 26 St & 10 Ave,40.74971775,-74.00295035,3244,University Pl & E 8 St,40.73143724,-73.99490342,52272,Customer,1970,0
985,19:58.2,36:23.9,228,E 48 St & 3 Ave,40.7546011,-73.97187886,4233,2 Ave & E 29 St,40.74172351,-73.97809267,35649,Customer,1970,0
947,38:10.9,53:58.0,4233,2 Ave & E 29 St,40.74172351,-73.97809267,434,9 Ave & W 18 St,40.74317449,-74.00366443,35649,Customer,1970,0
245,45:25.6,49:31.0,3244,University Pl & E 8 St,40.73143724,-73.99490342,482,W 15 St & 7 Ave,40.73935542,-73.99931783,52272,Customer,1970,0
483,05:44.3,13:47.4,482,W 15 St & 7 Ave,40.73935542,-73.99931783,151,Cleveland Pl & Spring St,40.72210379,-73.99724901,52272,Customer,1970,0
952,19:32.2,35:24.9,151,Cleveland Pl & Spring St,40.72210379,-73.99724901,445,E 10 St & Avenue A,40.72740794,-73.98142006,52272,Customer,1970,0
309,23:24.8,28:34.1,434,9 Ave & W 18 St,40.74317449,-74.00366443,466,W 25 St & 6 Ave,40.74395411,-73.99144871,35649,Customer,1970,0
482,53:27.4,01:29.8,445,E 10 St & Avenue A,40.72740794,-73.98142006,229,Great Jones St,40.72743423,-73.99379025,52272,Customer,1970,0
202,02:19.9,05:42.8,466,W 25 St & 6 Ave,40.74395411,-73.99144871,497,E 17 St & Broadway,40.73704984,-73.99009296,35649,Customer,1970,0
371,09:28.4,15:39.9,229,Great Jones St,40.72743423,-73.99379025,128,MacDougal St & Prince St,40.72710258,-74.00297088,52272,Subscriber,1961,2
1071,23:19.2,41:10.4,497,E 17 St & Broadway,40.73704984,-73.99009296,3664,North Moore St & Greenwich St,40.72019521,-74.01030064,35649,Customer,1970,0
900,41:40.2,56:40.5,128,MacDougal St & Prince St,40.72710258,-74.00297088,3707,Lexington Ave & E 26 St,40.741459,-73.983293,52272,Customer,1970,0
643,48:47.4,59:30.4,3664,North Moore St & Greenwich St,40.72019521,-74.01030064,458,11 Ave & W 27 St,40.751396,-74.005226,35649,Customer,1970,0
